message,label
"Congratulations, your application for the Remote Data Clerk position has been short-listed. The pay is $40 per hour. Please contact our HR representative via Telegram at @hr_placement_desk to receive your employment letter.",fake
Urgent hiring! Earn $500 daily working from home. No experience required. We train you. Positions are limited. Contact us on WhatsApp: +12025550143.,fake
"Hi Tyler, I am a recruiter at Lyft. I was reviewing profiles with strong causal inference and network optimization backgrounds, and your experience running large-scale marketplace experiments caught my eye. Our Pricing and Incentives Data Science team is tackling some complex problems right now, and I think you'd be a phenomenal addition. Are you open to a 15-minute call this week? Thanks!",real
"Hi Evelyn, I hope this message finds you well. I'm reaching out from the University Recruiting team at Microsoft. We have reviewed your application for the Data Science Internship for Summer 2026. We are excited to invite you to complete a 45-minute technical screen focusing on data manipulation and probability. Please check your email inbox for an invite from our testing partner, HackerRank. Best regards, Microsoft Recruiting.",real
"Hi Megan, following up on our phone screening last Tuesday, the hiring manager for the Data Platform Team at Databricks was incredibly impressed with your background in distributed systems and PySpark ETL pipelines. We would love to invite you to a 60-minute technical session covering data structures and system architecture next week. Let me know which of these time slots work best. Best, Mark Robinson.",real
"Dear Candidate, thank you for your interest in the Associate Data Scientist position at Capital One. We have received your application and would like to invite you to complete our mandatory Online Power Day Assessment, which includes a case study interview and a coding evaluation. Please check your candidate portal for preparation materials and your official testing window. Best regards, Capital One Campus Recruiting.",real
Immediate opening for a Remote Data Archiver. Earn $3500 a month working part-time. Equipment will be shipped to you after you deposit our corporate check. Message us on Telegram @archiver_job_space to get started.,fake
"Hello, your profile was recommended to us for a high-paying remote role. We pay $50/hour for basic data management. You must have Telegram to chat with the supervisor. Search for @work_from_home_panels",fake
"Dear Candidate, thank you for taking the time to interview with us for the Data Analyst position at ZoomInfo. We thoroughly enjoyed meeting you and learning more about your background in B2B data modeling. While the team was impressed by your skills, we have decided to move forward with another candidate whose experience slightly closer aligns with our current tech stack. We will keep your details on file. Sincerely, ZoomInfo Talent Team.",real
JOB EXCLUSIVE: Remote Content Auditor needed. $46/hour. Completely autonomous hours. Must use WhatsApp to stay in contact with the supervisor. Add +17185550191 to process your initial application.,fake
"Dear Candidate, thank you for your interest in the Associate Data Scientist position at Discover Financial. We have received your application and would like to invite you to complete our mandatory Online Assessment, which covers analytical reasoning and standard python manipulation. Please review your candidate portal for prep guides and your assigned testing window. Best regards, Discover Campus Recruiting.",real
"Hello job seeker! We have an immediate opening for a home-based office assistant. Salary is $35/hr during a 1-week online training period, moving to $50/hr afterwards. To set up your textual interview, please install the Signal app and add +14155550122.",fake
"Hi Amber, thank you for speaking with our hiring manager yesterday regarding the Product Analyst role at Squarespace. We thoroughly enjoyed hearing about your metric framework designs. We are currently finishing up first-round conversations and expect to provide you with an update regarding the next loop by mid-week. Please let us know if you have any questions in the meantime. Best, Squarespace Talent Team.",real
"Hi Paige, I am a recruiter at Juniper Networks. I saw your presentation on network telemetry classification at a local tech meetup. Our Advanced Analytics team is currently looking for an Analytics Specialist with deep time-series modeling skills. This position can be based out of our Sunnyvale, CA headquarters or fully remote within the US. If you're open to exploring roles, let's set up an intro chat. Thanks, Mark.",real
Urgent work from home assignment! Earn $400-$800 daily. Data cloud labeling and testing assignments. Completely legal. Payouts via digital wallet or bank. Contact via WhatsApp +12125550193.,fake
"Hi Michael, I noticed your background in machine learning and NLP at University of Toronto while searching for talent on LinkedIn. We have an open role for an ML Engineering Intern at Cohere for Summer 2026, and I think your experience with BERT and LLM fine-tuning makes you a great fit. If you're interested, please apply directly through this personalized portal link, or reply with your updated resume. Best regards, David Chen, University Recruiting.",real
"URGENT CAREER OPENING: Remote Operations Assistant. $45/hr. Full health benefits provided. To set up your mandatory text screening, please install Telegram and message our user account @corporate_hiring_desk.",fake
"Hi Derek, I am a technical sourcer at Discord. I saw your open-source projects on real-time audio telemetry processing and data pipelines. Our Core Data Science team is looking for an ML Engineer to work on safety and voice feed optimization. This is a full-time role based in San Francisco, CA. Let me know if you have time this week for an exploratory video call. Thanks, Dave.",real
"Hi Justin, I'm a technical recruiter at Shopify. I came across your portfolio website and really enjoyed reading your detailed write-ups on customer lifetime value modeling. We are expanding our Merchant Analytics team and are looking for intermediate to senior data scientists. The role is fully remote within Canada. Let me know if you'd be open to a 15-minute introductory call this week. Cheers, Liam.",real
"Hi Nathan, I came across your profile while searching for Data Scientists with expertise in time-series forecasting and ML pipeline scaling. I am a talent partner at Twilio, and our core analytics infrastructure group is expanding. I'd love to organize a 15-minute introductory call next week to walk through what we are building and learn more about your career interests. Let me know if you have availability on Tuesday or Wednesday. Best, Sarah Davis.",real
"Hi Brandon, I'm a recruiter at Uber. I was reviewing engineering profiles with explicit specialization in causal inference and network pricing architecture, and your project portfolio stood out immediately. Our Marketplace Dynamics Data Science group is resolving some highly complex routing problems and we believe you would be an excellent addition. Are you available for a 15-minute chat this week? Cheers, Liam.",real
"Hi Marcus, I'm a technical recruiter at Shopify. I came across your portfolio website and really enjoyed reading your detailed write-ups on customer lifetime value modeling. We are expanding our Merchant Analytics team and are looking for intermediate to senior data scientists. The role is fully remote within Canada. Let me know if you'd be open to a 15-minute introductory call this week. Cheers, Liam.",real
"Hi Colin, I hope you're having an excellent week. I am a recruiter at Unity Technologies, and I am currently sourcing for a Data Engineer to join our monetization infrastructure group. I noticed your experience scaling high-throughput data streams using Spark, Flink, and Snowflake. I'd love to jump on a short call to share the technical challenges we face and see if it aligns with your career goals. Let me know!",real
"Hi Chloe, I am a recruiter at Paramount+. I saw your profile and noticed your extensive experience building subscriber churn and user lifetime value models for digital media platforms. We have a Data Scientist opening on our Streaming Data Insights team that looks like an incredible match for your background. Let me know if you are free for a brief 15-minute phone call this week. Best, Marcus.",real
"Dear Candidate, Your profile has been approved for a part-time remote optimization specialist role. Your primary duty is to boost app store product visibility. Earn 150 USDT per day. Paid daily to your crypto wallet. Connect on Telegram: @app_boost_ventures.",fake
Hello! I am a senior HR at Capgemini. We have reviewed your background on LinkedIn and are offering a part-time remote data processing role. Salary is $45 per hour. Please contact our coordinator on Telegram: @capgemini_recruitment_hub.,fake
"Hello, I am the lead HR at Amazon Logistics. Your resume fits our core criteria for a remote inventory tracking assistant. Salary is $39 per hour. Please contact our digital onboarding desk on WhatsApp immediately: +17025550167 to lock in your position.",fake
JOB DEAL: Remote Data Reviewer needed. $45/hour. Work anytime you want. Must have WhatsApp for communication with the team. Add +17185550148 to start your application processing.,fake
"Hi Vanessa, I'm a recruiter at LinkedIn. I noticed your impressive background in building trust and safety metrics at your current company. We are currently looking for a Senior Data Scientist to join our Ecosystem Quality team in Sunnyvale. Your profile stands out as an excellent technical fit. Would you be open to an introductory 15-minute sync this Tuesday or Wednesday? Best, Andrew.",real
"Hi Sophia, I hope this message finds you well. I'm reaching out from the Talent Acquisition team at Wayfair. We have an immediate opening for a Supply Chain Data Analyst. I noticed your internship at Amazon focused heavily on inventory optimization and inventory forecasting pipelines, which aligns perfectly with this role. I’d love to set up an initial phone screen. Let me know if you're interested. Best, Kevin.",real
"Good day, I am a recruiter from Randstad. We have an immediate opening for an online data coordinator. You can earn up to $3000 a week working just 10 hours. No technical skills required. Please connect with us on WhatsApp at +15125550198 for more details.",fake
"Hi Natalie, I hope you're well. I am a recruiter at Etsy, and I am currently looking for a Product Data Scientist to support our search and discovery team. I noticed your background at eBay working on e-commerce search algorithms, which is incredibly relevant to our current initiatives. I would love to jump on a quick call to share more about the team culture and scope. Let me know if you're available. Thanks, Tom.",real
"Urgent hiring! Earn $400 daily from home by completing simple data tasks. No interview, start immediately. Flexible hours. Add Telegram username: @global_earn_tasks",fake
"Hi Chloe, I am a recruiter at Warner Bros. Discovery. I saw your profile and noticed your experience building user churn prediction models for streaming platforms. We have a Data Scientist position open on our Max streaming analytics team that sounds like a great match for your skillset. If you are open to learning more, let me know when you are free for a brief 15-minute phone call. Best, Marcus.",real
"Hi, I'm Sofia from the TikTok content promotion department. We are looking for remote freelancers to help creators increase video likes and rankings. Make $200-$500 per day working from home. Use your phone. Contact us on WhatsApp link: wa.me/19175550192",fake
Urgent work from home job! Earn $500-$1000 daily. Data optimization and cloud testing tasks. Safe and legal. Payout via crypto or bank. Contact WhatsApp +12125550164.,fake
Attention: Your application on ZipRecruiter has progressed to the next evaluation stage. You are scheduled for an immediate online text screening via Skype or Telegram. Please add our coordinator at @global_recruitment_hub. Failure to respond in 24 hours cancels your application.,fake
"Dear Candidate, Thank you for taking the time to complete the coding challenge for the Data Engineer position at Square. We are pleased to let you know that you have been selected to move forward to the technical interview round. This will be a 60-minute session via Google Meet where we will discuss your approach to data modeling and system design. Please use this link to schedule your slot. Best, Square Recruiting.",real
"Dear Job Seeker, Your profile has been selected for an online product optimization assistant role. Work 1-2 hours a day and earn 100-300 USDT daily. Paid directly to your crypto wallet. Connect via Telegram username: @crypto_tasks_recruiting",fake
"Hi, this is Chloe from Apex Systems. We have an urgent contract opening for a Remote SQL Developer. Pay is $90/hr. No interview needed, selection based on your resume. Please click this link to fill out your bank details for direct deposit setup: http://apex-systems-portal-login.com/auth",fake
We are hiring Data Operators! Work only 2 hours a day from your smartphone or PC. Weekly salary is $1500 guaranteed. Must have an active bank account for daily payouts. Connect with our HR via WhatsApp +13125550112.,fake
"Dear Candidate, Thank you for your interest in the Analytics Engineer position at HashiCorp. This email is to confirm that we have successfully received your resume and our technical scouting team is actively executing a baseline evaluation. Due to high volumes, updates generally take 5 to 10 business days. You can monitor your application profile inside the HashiCorp candidate portal. Warmly, HashiCorp Talent Acquisition.",real
"Hi Gabriel, I am currently leading the search for a Principal Data Scientist for a growing healthcare technology company based in Austin, TX. I found your profile and was impressed by your 8+ years of experience deploying predictive health models into production environments. The position offers competitive base pay, bonus, and full benefits. Let me know if you'd be open to a brief confidential chat. Best, Robert Half Executive Search.",real
"Hi Ethan, I am a tech recruiter at Riot Games. I noticed your GitHub repository where you modeled player behavior and matchmaking dynamics using reinforcement learning. Our Game Data Science team is looking for someone with a strong passion for gaming and advanced statistical skills. If you are open to a chat, I’d love to tell you more about our current projects and open roles. Best, Eric.",real
Good morning. I am a hiring representative from Manpower Group. Your resume was chosen for a remote document processing position. Compensation is $38/hour. The screening will be held on Telegram. Search for @manpower_group_careers to begin.,fake
"Hi Ashley, our engineering manager, Dr. Patel, came across your technical blog post regarding distributed training optimization and recommended I reach out. I am currently leading the talent search for a Staff ML Engineer at NVIDIA to work on next-generation compiler architecture. The position is based in Santa Clara, CA with hybrid flexibility. Do you have some time for a brief call next Monday? Best, David.",real
"Dear Applicant, You have been shortlisted for an online text interview with Wipro for the position of Remote IT Support / Data Input. The interview will be conducted via Telegram text chat. Add @wipro_talent_desk to begin your screening.",fake
"Dear Job Seeker, We found your CV on an online database. We are offering a remote position as a Data Processing Coordinator. Pay is $50/hr. To begin the written interview questionnaire, please add our supervisor on WhatsApp: +12065550119.",fake
"Hi Priya, I am currently looking for a Lead Data Scientist for a prominent financial tech company based in New York City (hybrid model). Your profile showed up during my search for leaders with experience scaling data teams and deploying fraud detection models. The base salary range is $180k-$220k plus equity. If this sounds like something you'd want to learn more about, let's schedule a confidential call. Best, Robert Half Technology Recruitment.",real
"Hello friend, are you interested in a part-time remote job? Work from home 1-2 hours a day and earn $1200 weekly. Tasks are very simple data organization. Contact our assistant on WhatsApp: +16195550199.",fake
"Hi David, I am a technical sourcer at Google. I saw your presentation on scalable graph neural networks at the last NeurIPS conference. Our Core Infrastructure team is looking for a Research Scientist with exactly your expertise. This would be a full-time position based in Mountain View, CA. If you are open to exploring new opportunities, please let me know your availability for an exploratory call. Thanks, Jessica Taylor.",real
"Hi, I'm a talent acquisition specialist. We have a Data Scientist opening that pays $150/hr, completely remote, flexible hours, no experience required. We just need you to complete a brief text screening on Signal app. Message us at +12065550155.",fake
"Hi Lily, I am a recruiter at Warner Bros. Discovery. I saw your profile and noticed your experience building user churn prediction models for streaming platforms. We have a Data Scientist position open on our Max streaming analytics team that sounds like a great match for your skillset. If you are open to learning more, let me know when you are free for a brief 15-minute phone call. Best, Marcus.",real
"Hi Daniel, I am a technical sourcer at Google. I saw your paper on distributed gradient routing at the last ICML conference. Our Core Infrastructure team is looking for a Research Scientist with exactly your domain expertise. This is a full-time position based out of Mountain View, CA. If you are open to exploring new opportunities, let me know your availability for an exploratory sync. Thanks, Jessica Taylor.",real
"Hi Alyssa, thank you for taking the time to speak with our hiring team yesterday regarding the Business Intelligence Analyst position at HubSpot. We enjoyed hearing about your data visualization projects. We are currently interviewing a few more candidates for this round and expect to provide you with an update on next steps by early next week. Please don't hesitate to reach out if you have any questions. Best, HubSpot Recruiting.",real
"Hi Christian, I'm a technical recruiter at PayPal. I came across your profile while sourcing for our Core Fraud Analytics team. I noticed your background in building real-time transaction monitoring systems using graph databases and XGBoost models. I would love to hop on a short 15-minute phone call this week to tell you more about our current initiatives and see if it's a fit. Let me know your availability. Best, Lisa.",real
"Hi Ryan, I hope you are having a productive week. I am a talent partner at Datadog, and I'm currently sourcing for an Analytics Engineer to join our Product usage team. I noticed your experience building scalable dbt models and Looker dashboards at your current company. I'd love to share more details about the technical roadmap for this group. Let me know if you have time for a brief sync. Thanks!",real
"Dear Job Seeker, We discovered your resume on an open job board. We are extending a remote offer for a Data Formatting Coordinator role. Pay is $48/hr. To begin your written interview questionnaire, please message our team on WhatsApp: +12065550144.",fake
"Hi Vikram, I am currently leading the search for a Lead Data Scientist for a prominent financial tech company based in New York City (hybrid model). Your profile showed up during my search for leaders with experience scaling data teams and deploying fraud detection models. The base salary range is $180k-$220k plus equity. If this sounds like something you'd want to learn more about, let's schedule a confidential call. Best, Robert Half Technology Recruitment.",real
Congratulations! You are selected for employment at UnitedHealth Group as a remote data clerk. Your training begins tomorrow. We will send you a check to buy an Apple iPad and scanning software. Please send a screenshot of your bank account balance to confirm you can deposit the check.,fake
"Hi Alex, I came across your GitHub repository for the transformer-based forecasting project and was really impressed by your implementation. I'm a technical recruiter at Stripe, and our Risk Data Science team is currently expanding. I'd love to jump on a quick 15-minute call this week to share more about what we're building and see if it aligns with your career goals. Let me know if you have some time on Thursday or Friday. Best, Sarah.",real
"Hi David, I am a technical recruiter at Elastic. I stumbled upon your technical presentation regarding Elasticsearch scaling matrices from the last major conference. Our Core Search Infrastructure group is looking for a Senior Data Scientist with a passion for high-volume text pipelines. This full-time role is based out of our Austin, TX tech hub. Let me know if you are open to an introductory chat. Thanks, Keith.",real
"Dear Candidate, Thank you for attending the initial technical interview for the Machine Learning Engineer position at Scale AI. The interview panel was very impressed with your coding efficiency and depth of knowledge in computer vision. We would like to invite you to the final virtual onsite round, which will take place next week. Our coordinator will reach out shortly to coordinate your schedule. Best, Scale AI Talent Team.",real
"Dear Candidate, Thank you for speaking with our team during the initial screening call for the Data Engineer position at Confluent. We enjoyed learning about your experience managing large-scale Kafka clusters. We would love to advance you to a technical interview with our infrastructure lead engineer. Please use this link to indicate your availability over the coming week: [Link]. Best regards, Confluent Recruiting.",real
"Good day, I'm a talent broker from Korn Ferry. We have a direct opening for a remote data verification clerk. Earn $2500 a week. No prior training needed as we offer paid induction. Connect on WhatsApp at +15125550123 for application steps.",fake
"Hi Fiona, I hope this message finds you well. I'm reaching out from the University Recruiting team at Microsoft. We have reviewed your application for the Data Science Internship for Summer 2026. We are excited to invite you to complete a 45-minute technical screen focusing on data manipulation and probability. Please check your email inbox for an invite from our testing partner, HackerRank. Best regards, Microsoft Recruiting.",real
Congratulations! You have been accepted for employment at Anthem Health as a remote processing clerk. Your training materials are ready. We will send you a digital check to acquire an iPad and scanning software. Send a screenshot of your mobile banking deposit screen to confirm.,fake
"Hi Lauren, I saw your LinkedIn update about finishing your Master's in Data Science at NYU. Congratulations on the milestone! I am a campus recruiter at EY, and we are actively looking for entry-level consultants for our Advanced Analytics practice in New York. If you are open to exploring consulting roles, I'd love to coordinate an introductory call to share our upcoming program dates. Best, Alyssa Cole.",real
"Congratulations, your background profile for the Remote Data Entry role has been approved. The pay rate is $42 per hour. Please contact our placement office via Telegram at @placement_desk_hr to secure your offer letter.",fake
Work from home job notification! Process standard digital forms from the comfort of your couch. Earn $2500 weekly. We mail you a certified check for your software tools. You purchase from our verified vendor. Reply with your bank name to start.,fake
"Hello, I am Olivia from Adecco Recruiting. Are you interested in a flexible remote part-time job that pays $2000 weekly? If yes, reply 1 for more details.",fake
"Hi Natalie, I hope you are well. I am a recruiter at Instacart, and I am currently looking for a Product Data Scientist to support our Fulfillment Logistics group. I noticed your background at FedEx working on delivery route optimization, which is highly relevant to our core scaling initiatives. I would love to jump on a brief call to share our team culture and technical scope. Let me know if you're free. Thanks, Tom.",real
"Good day, I'm an independent agent working with Randstad Staffing. We are hiring remote data logging operators immediately. Compensation is $3000 weekly for 15 hours of work. No tech skills needed. Connect with us via WhatsApp at +15125550165 for registration details.",fake
"We found your profile on LinkedIn and think you are perfect for our Data Analyst role. The job is 100% remote. We will provide you with a laptop and all necessary equipment. A check will be mailed to you to purchase these items from our approved vendor. Please reply with your full name, email, and phone number to start.",fake
Greetings! Earn easy money working from home. Just 1 hour a day reviewing movies. High commission paid daily. Over $2000 a week possible. No experience needed. Contact via WhatsApp: wa.me/14155550106,fake
"Hello Jobseeker, We reviewed your resume online and want to onboard you as a Remote Support Assistant. Base salary is $44/hr. Please text our hiring staff on Signal app at +13055550142 to complete your compliance documentation.",fake
"Hi, this is Robert from Teksystems. We have an immediate contract opening for a Remote Database Assistant. Pay rate is $85/hr. Direct selection based on your profile, no technical rounds required. Click here to submit your banking details for immediate payroll setup: http://teksystems-hr-portal.com",fake
"Dear Applicant, thank you for applying for the Technology Analyst position at Goldman Sachs. We have successfully received your application and would like to invite you to complete our mandatory HackerRank engineering assessment. The test will evaluate your data structures knowledge and problem-solving skills. You will have 5 days from today to complete the test via the unique link sent. Best, Goldman Sachs Recruiting.",real
OFFER FROM IBM! We are pleased to inform you that your resume has been shortlisted for a Remote Office Admin position. Pay is $50/hour. This is a 100% remote job. Please download Signal app and message our HR representative at +14155550109.,fake
Greetings! Make extra cash working completely from home. Spend 1 hour a day evaluating digital media. High daily commission architecture. Over $1500 a week achievable. No background required. Contact via WhatsApp: wa.me/14155550189,fake
"Dear Candidate, Thank you for completing the technical assessment for the Junior Data Scientist position at Spotify. We are pleased to inform you that you passed the assessment, and we would like to invite you to the final round panel interview. This will consist of three 45-minute sessions covering coding, machine learning theory, and a behavioral fit. Our coordinator will reach out shortly with a scheduling link. Kind regards, Spotify Recruitment Team.",real
"Hi Gavin, I hope you are doing well. I'm a technical recruiter at Electronic Arts (EA). I came across your portfolio and was impressed by your telemetry analysis projects for competitive esports. Our Player Insights team is currently hiring a Senior Data Scientist. I'd love to connect and share more about how we use data to improve player experiences. Let me know if you have some time to chat this week. Best, Megan.",real
"Dear Applicant, You have been shortlisted for an online interview with Wipro for the position of Remote IT Support / Data Input. The interview will be conducted via Telegram text chat. Add @wipro_desk to begin your screening.",fake
"Hi Chloe, thank you for taking the time to apply for the Machine Learning Research role at OpenAI. We have carefully evaluated your academic publications and engineering background. While your work is deeply impressive, we are prioritizing candidates with more specific experience in massive-scale distributed training for this particular cohort. We will keep your portfolio on file for future openings. Best, OpenAI Recruiting.",real
"Dear Candidate, I am a recruiter from Infosys. We have reviewed your background and want to offer you a Data Analyst position. The interview will be done entirely through WhatsApp text messaging. Please add our supervisor at +16465550177.",fake
"Hi! I am an internal sourcer from Insight Global. We have a direct-hire remote Data Analytics assistant position open. No coding rounds, just a short questionnaire via WhatsApp. Pay is $50/hr. Reach out to +16175550122 immediately.",fake
"Hi Daniel, I am a technical sourcer at Apple. I saw your contributions to the Apache Arrow project and was highly impressed by your optimization work. Our AI/ML Infrastructure team is looking for a Senior Software Engineer with a passion for high-performance data systems. This is a full-time position in Cupertino, CA. Let me know if you are open to an exploratory conversation. Best, Jessica.",real
"Hi Austin, I'm a talent partner at Twitch. I saw your open-source video analytics framework on GitHub and wanted to reach out. Our Content Engineering group is looking for a Senior Data Scientist who is passionate about real-time telemetry and user behavior modeling. If you are open to a confidential conversation about what we are building for 2026, let's connect. Thanks, Chris.",real
"Hi Ethan, I came across your LinkedIn profile while looking for Machine Learning Engineers with strong MLOps and Kubeflow experience. I'm a talent acquisition partner at DoorDash, and our Logistics ML team is expanding rapidly. We are looking for engineers who can build and deploy real-time routing models. Let me know if you have 10-15 minutes for an introductory chat this week. Best, Maya Patel.",real
"Hi, I am Clara from Kelly Services Recruiting. Are you looking for a flexible remote job that fits your schedule? We have data logging positions open paying $35/hr. Reply with your resume to start an immediate text screening.",fake
"Dear Candidate, thank you for taking the time to interview with us for the Data Analyst position at Salesforce. We thoroughly enjoyed meeting you and learning more about your background in enterprise data modeling. While the team was impressed by your execution, we have decided to move forward with another candidate whose current tech stack experience matches our needs slightly closer. We will keep your details on file. Sincerely, Salesforce Talent Team.",real
"Dear Job Seeker, Your resume has been evaluated by our recruitment team for the Remote Product Evaluator position. The starting pay is $55/hr during training and $75/hr after training. The company will send you a certified check to set up your home office. Please reply to this email to receive your interview questionnaire.",fake
"Hello, would you like to earn extra income? Our platform optimizes vacation rental ratings. Work 1 hour daily and earn up to 250 USDT. A digital wallet is required. Contact @rental_rating_rewards on Telegram for details.",fake
"CONGRATULATIONS! You have been selected for employment at Novartis as a remote records clerk. Base salary is $7,000/month. Before shipping your company-issued laptop, you must transfer a $100 activation fee via crypto or gift card. Reply ASAP.",fake
"Hi Paige, I hope you're doing well. I'm a recruiter at Pinterest, and I'm currently looking for an ML Data Scientist to join our Ads Ranking team. I noticed your published work on recommendation systems and deep learning. Your academic and practical background seems like a fantastic match for the technical challenges our team faces. Would you be open to a brief connection call this Thursday afternoon?",real
